50,500
177:7,44,18
178:8,32,15
179:3,45,14
180:7,20,43
181:11,12,12
182:14,21,12
183:20,49,12
184:24,35,25
185:2,7,23
186:10,13,58
187:13,45,32
188:17,33,9
189:26,40,89
190:10,11,76
191:16,38,82
192:24,47,51
193:2,11,29
194:3,34,68
195:13,32,70
196:33,43,70
197:35,40,1
198:36,40,75
199:15,44,52
200:29,49,91
201:9,44,42
202:10,32,3
203:17,20,76
204:24,30,81
205:1,24,8
206:11,25,20
207:24,27,81
208:4,23,97
209:0,47,45
210:3,19,27
211:6,49,46
212:11,33,49
213:12,37,63
214:14,35,72
215:8,10,69
216:17,31,93
217:18,48,46
218:40,43,52
219:0,11,52
220:3,4,63
221:9,12,52
222:36,49,83
223:3,32,39
224:9,35,95
225:16,47,53
226:1,28,52
227:8,11,48
228:11,20,76
229:3,39,44
230:10,35,51
231:16,18,4
232:28,49,5
233:17,22,87
234:20,34,43
235:9,26,74
236:11,40,9
237:0,17,91
238:5,47,42
239:24,46,16
240:39,46,14
241:15,17,71
242:18,26,66
243:23,46,51
244:35,36,28
245:5,26,75
246:25,37,7
247:33,49,88
248:34,45,35
249:3,46,70
250:4,29,11
251:30,35,6
252:33,35,62
253:41,42,52
254:38,44,69
255:42,45,10
256:3,11,39
257:14,15,7
258:19,27,37
259:25,47,13
260:33,46,65
261:19,23,81
262:0,15,33
263:5,29,58
264:11,39,16
265:20,28,63
266:37,44,58
267:3,30,64
268:8,34,77
269:25,42,33
270:9,17,2
271:15,41,53
272:17,48,62
273:41,43,89
274:16,25,10
275:42,47,1
276:43,46,52
277:0,35,30
278:4,10,96
279:5,12,28
280:10,40,11
281:21,26,79
282:38,49,99
283:14,44,70
284:17,41,7
285:19,24,62
286:17,46,87
287:27,45,44
288:1,15,39
289:2,4,10
290:17,28,37
291:7,40,61
292:1,9,8
293:17,38,16
294:21,33,39
295:35,39,73
296:12,38,40
297:8,42,49
298:18,32,36
299:0,49,79
300:7,48,60
301:30,37,15
302:5,6,95
303:10,19,70
304:10,48,15
305:8,23,79
306:11,36,30
307:20,21,40
308:40,41,88
309:6,28,82
310:8,36,16
311:1,8,26
312:3,16,11
313:1,35,80
314:10,33,12
315:24,36,24
316:34,44,13
317:1,22,73
318:6,41,17
319:11,34,73
320:15,38,91
321:43,47,92
322:13,24,26
323:20,45,92
324:24,41,2
325:8,26,34
326:9,39,73
327:23,32,83
328:7,11,81
329:16,42,35
330:27,37,21
331:0,37,53
332:24,26,42
333:4,46,72
334:5,30,66
335:11,16,19
336:29,35,2
337:32,35,21
338:7,18,67
339:4,28,100
340:41,45,56
341:8,39,11
342:24,40,22
343:11,17,37
344:13,48,94
345:29,42,90
346:31,48,94
347:14,48,91
348:16,35,61
349:25,29,17
350:32,37,38
351:38,40,96
352:9,45,66
353:25,27,67
354:3,26,2
355:17,39,58
356:22,29,34
357:33,44,18
358:0,40,28
359:1,31,92
360:12,40,2
361:22,31,55
362:18,47,10
363:34,49,71
364:6,17,28
365:21,38,64
366:24,34,7
367:12,16,93
368:10,34,11
369:27,44,86
370:2,23,43
371:2,40,25
372:6,31,65
373:16,17,95
374:30,39,3
375:0,21,74
376:1,11,12
377:5,35,57
378:18,43,42
379:24,33,73
380:30,46,94
381:31,44,78
382:36,43,99
383:5,42,50
384:27,33,14
385:33,48,95
386:3,21,52
387:17,18,15
388:1,6,96
389:12,23,88
390:25,26,32
391:25,38,81
392:7,42,81
393:9,13,42
394:40,45,49
395:2,25,54
396:9,23,93
397:29,34,80
398:0,25,93
399:1,38,40
400:7,24,6
401:41,44,79
402:0,38,24
403:2,9,71
404:8,45,6
405:37,42,48
406:4,25,11
407:8,13,12
408:12,48,20
409:3,20,73
410:5,41,67
411:27,35,1
412:38,46,60
413:11,14,57
414:13,44,95
415:14,31,34
416:20,39,93
417:6,11,6
418:9,32,4
419:16,23,67
420:17,40,77
421:32,45,97
422:4,31,37
423:22,25,94
424:6,43,60
425:38,45,75
426:9,22,28
427:21,48,52
428:27,43,81
429:1,30,78
430:7,43,69
431:19,35,59
432:32,34,7
433:15,37,40
434:38,42,48
435:17,30,82
436:26,39,91
437:38,39,82
438:2,10,69
439:16,28,44
440:20,46,28
441:27,32,41
442:1,45,76
443:9,15,71
444:1,36,32
445:14,17,81
446:6,38,59
447:8,9,65
448:11,46,17
449:19,45,58
450:2,48,86
451:9,20,95
452:19,37,88
453:25,36,56
454:4,32,30
455:10,15,6
456:11,21,21
457:23,48,56
458:18,41,34
459:0,12,43
460:12,14,41
461:33,37,4
462:17,36,34
463:21,45,26
464:11,35,78
465:23,26,69
466:23,28,37
467:45,46,6
468:12,34,41
469:13,39,59
470:16,34,98
471:20,23,13
472:19,40,94
473:38,41,83
474:43,49,11
475:16,29,72
476:31,42,49
477:6,22,58
478:26,48,39
479:8,37,87
480:17,35,12
481:17,44,60
482:2,14,75
483:6,39,5
484:16,37,78
485:20,40,89
486:29,45,100
487:36,48,41
488:32,44,86
489:0,46,55
490:4,8,3
491:21,28,14
492:29,48,41
493:0,29,62
494:22,41,97
495:27,34,38
496:27,41,54
497:32,41,13
498:42,48,14
499:7,35,39
